English,,عريى
Boiled eggs,1,بيض مسلوق
omelette,1,بيض اومليت
Cottage Cheese,2,جبنة قريش
Cheddar cheese,3,جبنة شيدر
feta cheese,4,جبنة فيتا
Parmesan cheese,5,جبنة البارميزان
smoked turkey,6,صدور رومى مدخن
mozzarella cheese,7,جبنة موتزاريلا
Rummi Cheese ,8,جبنة رومي
chicken breast,9,صدور فراخ
tuna,10,تونة
milk,11,حليب
almond milk,12,حليب لوز
Yogurt,13,زبادى
Greek yogurt,14,زبادى يونانى
sweet potato,15,بطاطا حلوة
Potatos,16,بطاطس
Rice Cakes,17,رايس كيك
Tortilla Bread ,18,عيش التورتيلا
Bread,19,عيش
Oats,20,شوفان
Cornflakes,21,كورن فليكس
Bean,22,فول
lentil,23,عدس
chickpeas,24,حمص
Green beans,25,فاصوليا خضراء
jam,26,مربى
honey,27,عسل
cinnamon,28,قرفة
dark chocolate,29,شوكولاتة غامقة
banana,30,موز
mango,31,مانجو
orange,32,برتقال
watermelon,33,بطيخ
Strawberry,34,فراولة
peach,35,خوخ
Guava,36,جوافة
Grape,37,عنب
pears,38,كمثرى
apple,39,تفاح
Dates,40,تمر
pomegranate,41,رمان
Common Fig,42,التين
tomatoes,43,طماطم
Cucumber,44,خيار
Carrots,45,جزر
pepper,46,فلفل
sweet corn,47,ذرة حلوة
lettuce,48,خس
Onion ,49,بصل
mushroom,50,مشروم
Broccoli,51,بروكلي
Mayo,52,مايو
Peanut Butter,53,زبدة الفول السوداني
Peanuts,54,الفول السوداني
almonds,55,لوز
pistachio,56,فستق
cashew,57,كاجو
avocado,58,أفوكادو
Meat,59,لحمة
Chicken Thigh ,60,وراك فراخ
mullet fish,61,سمك بورى
Tilapia Fish ,62,سمك بلطي 
Fillet-fish,63,سمك فيليه
salmon,64,سمك سلمون
chicken liver,65,كبدة فراخ
Shrimp,66,جمبرى
beef liver,67,كبدة بقرى
rice,68,ارز
macaroni,69,مكرونة
oil,70,زيت
Butter ,71,سمنة
sugar,72,سكر
