Type,Name,Serving,Unit,Protein,Carb,Fats,Calories,,,
Protein,Beef  (Fat trimmed),100.00,gm,28,0.00,8,184.00,لحمة من غير دهون  ,59,لحمة
Protein, Chicken Breast,100.00,gm,31,0.00,4,160.00,صدور فراخ ,9,صدور فراخ
Protein,Chicken Thigh ,100.00,gm,25,0.00,8,172.00,وراك فراخ,60,وراك فراخ
Protein,Grilled  Mullet Fish ,100.00,gm,24,0.00,5,141.00,سمك بورى مشوى,61,سمك بورى
Protein,Tilapia Fish ,100.00,gm,26,0.00,2.7,128.30,سمك بلطي مشوي ,62,سمك بلطي 
Protein,Grilled White Fish Fillet ,100.00,gm,25,0.00,7,163.00,سمك فيليه ابيض,63,سمك فيليه
Protein,Steamed or Grilled Salmon,100.00,gm,25,0.00,7,163.00,سمك سلمون,64,سمك سلمون
Protein,Chicken Liver,100.00,gm,25,4.00,6.5,174.50,كبدة فراخ,65,كبدة فراخ
Protein,Shrimp,100.00,gm,24,0.00,2,114.00,جمبرى,66,جمبرى
Protein,Beef Liver,100.00,gm,29,5.50,6,192.00,كبدة بقرى,67,كبدة بقرى
Protein,Light Cheddar Cheese ,100.00,gm,17.00,8.00,9.10,181.90,جبنة شيدر لايت,3,جبنة شيدر
Protein,Skimmed Milk ,100.00,gm,3.40,4.60,0.00,32.00,حليب خالى الدسم,11,حليب
Protein,Mozzarella Cheese,100.00,gm,22.20,2.17,22.35,298.63,جبنة موتزاريلا,7,جبنة موتزاريلا
Carb,Jasmine Rice,100.00,gm,2.70,28.00,1.00,131.80,رز بسمتى,68,ارز
Carb,Potato ,100.00,gm,2.50,17.50,0.10,80.90,بطاطس,16,بطاطس
Carb,Rice Cakes ,100.00,gm,8.00,78.00,1.50,357.50,رايس كاك,17,رايس كاك
Carb,Tortilla Bread ,100.00,gm,8.00,50.00,3.50,281.50,عيش التورتيلا,18,عيش التورتيلا
Carb,Brown Toast ,100.00,gm,11.00,49.00,3.00,267.00,عيش توست بنى,19,عيش
Carb,White Bread ,100.00,gm,8.00,50.00,3.20,260.80,عيش ابيض,19,عيش
Carb,Pasta,100.00,gm,7.50,37.00,1.00,187.00,مكرونة,69,مكرونة
Carb,Puree Tomato Sauce ,100.00,gm,1.30,7.50,0.20,37.00,صلصة طماطم بيوريه,69,مكرونة
Carb,Rice ,100.00,gm,2.70,28.00,1.00,131.80,ارز,68,ارز
Carb,Orange Juice,100.00,gm,0.75,10.40,0.20,46.40,عصير برتقال,32,برتقال
Carb,Tomato ,100.00,gm,1.00,4.00,0.20,21.80,طماطم,43,طماطم
Carb,Onion ,100.00,gm,1.00,9.00,0.00,40.00,بصل,49,بصل
Carb,Cucumber,100.00,gm,0.60,2.16,0.15,12.39,خيار,44,خيار
Carb,Carrot ,100.00,gm,1.00,9.60,0.24,44.56,جزر,45,جزر
Carb,Green Pepper,100.00,gm,0.90,4.64,0.17,23.69,فلفل اخضر,46,فلفل
Carb,Yellow Pepper,100.00,gm,1.00,6.50,0.21,31.89,فلفل اصفر,46,فلفل
Carb,Red pepper ,100.00,gm,1.00,6.03,0.30,30.82,فلفل أحمر,46,فلفل
Carb,Sweet Corn ,100.00,gm,3.22,19.00,1.20,99.68,ذرة حلوه,47,ذرة حلوة
Carb,Lettuce ,100.00,gm,0.90,2.90,0.00,15.20,خس,48,خس
Carb,Mashroom,100.00,gm,3.10,3.30,0.40,29.20,مشروم,50,مشروم
Carb,Broccoli,100.00,gm,2.82,6.64,0.37,41.17,بروكلي,51,بروكلي
Fats ,Light Mayo ,100.00,tsp,0.65,13.70,30.00,327.40,لايت مايو,52,مايو
Fats,Olive Oil ,100.00,tsp,0.00,0.00,100.00,900.00,زيت الزيتون,70,زيت
Fats,Corn Oil ,100.00,tsp,0.00,0.00,100.00,900.00,زيت الذرة,70,زيت
Fats,Butter ,100.00,gm,1.00,0.00,82.00,742.00,سمنة,71,سمنة
